ULTRAPNG PIPELINE V6.0 — RUN REPORT
============================================================
Date       : 2026-03-27 08:15 IST
Batch      : 5 -> 805
Generated  : 800
Deleted    : 0
Approved   : 800
Transparent: 800
Uploaded   : 800
Posts      : 800
Duration   : 11.3h
Status     : SUCCESS
============================================================

FULL LOG
============================================================
[20:57:49] Manual drop: no PNG files found
[20:57:49] Loading prompts...
[20:57:50] Loaded 7972 prompts
[20:57:50] Batch: 800 prompts

[20:57:50] Building skip-set from REPO2 JSON files...
[20:57:50]   Skip-set (REPO2): 10 already-done filenames
[20:57:51]   Skip-set (ultradata): 10 already-generated filenames
[20:57:51]   Combined skip-set: 10 filenames total

[20:57:51] ========================================================
[20:57:51] PHASE 1: FLUX.2-Klein-4B — Image Generation
[20:57:51]   Loading from HuggingFace: black-forest-labs/FLUX.2-klein-4B
[20:57:51] ========================================================
[20:58:19]   Loading: black-forest-labs/FLUX.2-klein-4B
[20:58:19]   (First run: downloads ~8GB — ~5 min)
[20:59:22] FLUX.2 loaded | Batch: 800 | Skip: 10
[00:13:46]   [266/800] OK img_002919.png | ayurvedic_herbal | ETA 390min
[00:14:30]   [267/800] OK img_002931.png | ayurvedic_herbal | ETA 390min
[00:15:14]   [268/800] OK img_002955.png | ayurvedic_herbal | ETA 389min
[00:15:57]   [269/800] OK img_002973.png | ayurvedic_herbal | ETA 388min
[00:16:41]   [270/800] OK img_003021.png | ayurvedic_herbal | ETA 387min
[00:17:24]   [271/800] OK img_003097.png | ayurvedic_herbal | ETA 387min
[00:18:08]   [272/800] OK img_003129.png | ayurvedic_herbal | ETA 386min
[00:18:52]   [273/800] OK img_003163.png | ayurvedic_herbal | ETA 385min
[00:19:35]   [274/800] OK img_003183.png | ayurvedic_herbal | ETA 384min
[00:20:19]   [275/800] OK img_003202.png | ayurvedic_herbal | ETA 384min
[00:21:02]   [276/800] OK img_003235.png | ayurvedic_herbal | ETA 383min
[00:21:46]   [277/800] OK img_003252.png | ayurvedic_herbal | ETA 382min
[00:22:29]   [278/800] OK img_003285.png | ayurvedic_herbal | ETA 381min
[00:23:13]   [279/800] OK img_003286.png | ayurvedic_herbal | ETA 381min
[00:23:56]   [280/800] OK img_003318.png | ayurvedic_herbal | ETA 380min
[00:24:40]   [281/800] OK img_003348.png | ayurvedic_herbal | ETA 379min
[00:25:23]   [282/800] OK img_003353.png | ayurvedic_herbal | ETA 378min
[00:26:07]   [283/800] OK img_003364.png | ayurvedic_herbal | ETA 378min
[00:26:50]   [284/800] OK img_003426.png | ayurvedic_herbal | ETA 377min
[00:27:34]   [285/800] OK img_003443.png | ayurvedic_herbal | ETA 376min
[00:28:18]   [286/800] OK img_003558.png | ayurvedic_herbal | ETA 375min
[00:29:01]   [287/800] OK img_003572.png | ayurvedic_herbal | ETA 375min
[00:29:45]   [288/800] OK img_003680.png | ayurvedic_herbal | ETA 374min
[00:30:28]   [289/800] OK img_003765.png | ayurvedic_herbal | ETA 373min
[00:31:12]   [290/800] OK img_003778.png | ayurvedic_herbal | ETA 373min
[00:31:56]   [291/800] OK img_003846.png | ayurvedic_herbal | ETA 372min
[00:32:39]   [292/800] OK img_003861.png | ayurvedic_herbal | ETA 371min
[00:33:23]   [293/800] OK img_003863.png | ayurvedic_herbal | ETA 370min
[00:34:07]   [294/800] OK img_003897.png | ayurvedic_herbal | ETA 370min
[00:34:50]   [295/800] OK img_003966.png | ayurvedic_herbal | ETA 369min
[00:35:34]   [296/800] OK img_003977.png | ayurvedic_herbal | ETA 368min
[00:36:17]   [297/800] OK img_003985.png | ayurvedic_herbal | ETA 367min
[00:37:01]   [298/800] OK img_004001.png | ayurvedic_herbal | ETA 367min
[00:37:45]   [299/800] OK img_004049.png | ayurvedic_herbal | ETA 366min
[00:38:29]   [300/800] OK img_004102.png | ayurvedic_herbal | ETA 365min
[00:39:13]   [301/800] OK img_004125.png | ayurvedic_herbal | ETA 364min
[00:39:56]   [302/800] OK img_004163.png | ayurvedic_herbal | ETA 364min
[00:40:40]   [303/800] OK img_004208.png | ayurvedic_herbal | ETA 363min
[00:41:24]   [304/800] OK img_004238.png | ayurvedic_herbal | ETA 362min
[00:42:07]   [305/800] OK img_004304.png | ayurvedic_herbal | ETA 362min
[00:42:51]   [306/800] OK img_004319.png | ayurvedic_herbal | ETA 361min
[00:43:34]   [307/800] OK img_004332.png | ayurvedic_herbal | ETA 360min
[00:44:18]   [308/800] OK img_004371.png | ayurvedic_herbal | ETA 359min
[00:45:01]   [309/800] OK img_004375.png | ayurvedic_herbal | ETA 359min
[00:45:45]   [310/800] OK img_004404.png | ayurvedic_herbal | ETA 358min
[00:46:29]   [311/800] OK img_004406.png | ayurvedic_herbal | ETA 357min
[00:47:12]   [312/800] OK img_004410.png | ayurvedic_herbal | ETA 356min
[00:47:56]   [313/800] OK img_004437.png | ayurvedic_herbal | ETA 356min
[00:48:40]   [314/800] OK img_004471.png | ayurvedic_herbal | ETA 355min
[00:49:24]   [315/800] OK img_004493.png | ayurvedic_herbal | ETA 354min
[00:50:07]   [316/800] OK img_004510.png | ayurvedic_herbal | ETA 353min
[00:50:51]   [317/800] OK img_004524.png | ayurvedic_herbal | ETA 353min
[00:51:35]   [318/800] OK img_004536.png | ayurvedic_herbal | ETA 352min
[00:52:19]   [319/800] OK img_004542.png | ayurvedic_herbal | ETA 351min
[00:53:03]   [320/800] OK img_004600.png | ayurvedic_herbal | ETA 351min
[00:53:46]   [321/800] OK img_004616.png | ayurvedic_herbal | ETA 350min
[00:54:30]   [322/800] OK img_004627.png | ayurvedic_herbal | ETA 349min
[00:55:13]   [323/800] OK img_004645.png | ayurvedic_herbal | ETA 348min
[00:55:57]   [324/800] OK img_004658.png | ayurvedic_herbal | ETA 348min
[00:56:40]   [325/800] OK img_004696.png | ayurvedic_herbal | ETA 347min
[00:57:24]   [326/800] OK img_004727.png | ayurvedic_herbal | ETA 346min
[00:58:07]   [327/800] OK img_004731.png | ayurvedic_herbal | ETA 345min
[00:58:51]   [328/800] OK img_004814.png | ayurvedic_herbal | ETA 345min
[00:59:34]   [329/800] OK img_004898.png | ayurvedic_herbal | ETA 344min
[01:00:18]   [330/800] OK img_004923.png | ayurvedic_herbal | ETA 343min
[01:01:01]   [331/800] OK img_005017.png | ayurvedic_herbal | ETA 342min
[01:01:45]   [332/800] OK img_005043.png | ayurvedic_herbal | ETA 342min
[01:02:28]   [333/800] OK img_005083.png | ayurvedic_herbal | ETA 341min
